Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n
3.264, 0.649515, -0.167027, 0.579707, 0.000352077, -0.000997672, 0.999999, -0.000105373, 0.649, -0.166394, 0.579485, -5.95711e-05, -2.86678e-07, 1, -7.40216e-05, 
3.364, 0.649065, -0.159723, 0.579723, 0.000541751, -0.00179772, 0.999998, -8.4548e-05, 0.648407, -0.159133, 0.579481, -4.51373e-05, -2.71461e-07, 1, -5.99748e-05, 
3.464, 0.648615, -0.152694, 0.579721, 0.000722862, -0.00247578, 0.999997, -5.31281e-05, 0.647828, -0.15216, 0.579478, -3.36502e-05, -2.57504e-07, 1, -4.85673e-05, 
3.564, 0.648216, -0.145953, 0.579701, 0.000864591, -0.00303163, 0.999995, -1.88616e-05, 0.647334, -0.145461, 0.579475, -2.45916e-05, -2.43772e-07, 1, -3.93068e-05, 
3.664, 0.64799, -0.139459, 0.579749, 0.00101094, -0.00351579, 0.999993, 1.59793e-05, 0.646986, -0.139031, 0.579473, -1.7533e-05, -2.29884e-07, 1, -3.17856e-05, 
3.764, 0.647932, -0.133252, 0.579766, 0.00113224, -0.00384508, 0.999992, 5.14607e-05, 0.646831, -0.132869, 0.579471, -1.21225e-05, -2.14455e-07, 1, -2.56761e-05, 
3.864, 0.648024, -0.12734, 0.579757, 0.00115734, -0.00409798, 0.999991, 7.81419e-05, 0.64691, -0.126977, 0.57947, -8.07071e-06, -1.98107e-07, 1, -2.07159e-05, 
3.964, 0.648328, -0.121682, 0.579703, 0.00111028, -0.00428201, 0.99999, 8.81591e-05, 0.647253, -0.12136, 0.579469, -5.13828e-06, -1.79743e-07, 1, -1.66938e-05, 
4.064, 0.648911, -0.116318, 0.579675, 0.00107315, -0.00446453, 0.999989, 9.75074e-05, 0.647885, -0.116027, 0.579468, -3.12688e-06, -1.59797e-07, 1, -1.34404e-05, 
4.164, 0.649788, -0.111276, 0.579614, 0.000988139, -0.0044805, 0.999989, 9.48052e-05, 0.648825, -0.110986, 0.579467, -1.87142e-06, -1.37987e-07, 1, -1.08187e-05, 
4.264, 0.651019, -0.106496, 0.579616, 0.000967726, -0.00458534, 0.999989, 0.0001048, 0.650085, -0.106248, 0.579467, -1.23389e-06, -1.15183e-07, 1, -8.71769e-06, 
4.364, 0.652373, -0.10211, 0.579663, 0.00103091, -0.00451055, 0.999989, 0.000133662, 0.651676, -0.101823, 0.579466, -1.09861e-06, -9.00257e-08, 1, -7.04707e-06, 
4.464, 0.653902, -0.0980849, 0.579656, 0.000970565, -0.00446663, 0.99999, 0.000129119, 0.653602, -0.0977221, 0.579466, -1.36818e-06, -6.34394e-08, 1, -5.73267e-06, 
