Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n
31.364, 0.65034, -0.176151, 0.579366, 5.13519e-05, 9.2201e-05, 1, 4.40898e-05, 0.649917, -0.1765, 0.579464, 5.31156e-06, -7.28101e-08, 1, -1.02683e-06, 
31.464, 0.650325, -0.176106, 0.579367, 6.66199e-05, 0.00010188, 1, 4.41696e-05, 0.649917, -0.1765, 0.579464, 4.75272e-06, -6.49527e-08, 1, -8.93852e-07, 
31.564, 0.650232, -0.176102, 0.579338, 3.38491e-05, 0.000223067, 1, 4.26377e-05, 0.649917, -0.1765, 0.579464, 4.20224e-06, -5.77119e-08, 1, -7.71216e-07, 
31.664, 0.650246, -0.176134, 0.579353, 6.4656e-05, 0.000150364, 1, 4.45736e-05, 0.649917, -0.1765, 0.579464, 3.66261e-06, -5.16191e-08, 1, -6.58292e-07, 
31.764, 0.650181, -0.176235, 0.579352, 6.84483e-05, 0.000266872, 1, 4.43689e-05, 0.649917, -0.1765, 0.579464, 3.13618e-06, -4.31234e-08, 1, -5.54656e-07, 
31.864, 0.650112, -0.176315, 0.579324, 3.04612e-05, 0.000319743, 1, 4.23099e-05, 0.649917, -0.1765, 0.579464, 2.62534e-06, -3.6118e-08, 1, -4.59556e-07, 
31.964, 0.649872, -0.17636, 0.579262, -5.75399e-05, 0.000449295, 1, 4.07876e-05, 0.649917, -0.1765, 0.579464, 2.1324e-06, -2.8856e-08, 1, -3.72566e-07, 
32.064, 0.64972, -0.176467, 0.579265, -5.40364e-05, 0.000536773, 1, 3.94419e-05, 0.649917, -0.1765, 0.579464, 1.65968e-06, -2.29642e-08, 1, -2.92904e-07, 
32.164, 0.649486, -0.176515, 0.579273, -4.1703e-05, 0.00042485, 1, 3.98508e-05, 0.649917, -0.1765, 0.579464, 1.20948e-06, -1.74732e-08, 1, -2.20139e-07, 
32.264, 0.649454, -0.17618, 0.579255, -7.02087e-05, 7.37053e-05, 1, 3.83452e-05, 0.649917, -0.1765, 0.579464, 7.84118e-07, -5.26836e-09, 1, -1.53959e-07, 
32.364, 0.649423, -0.176034, 0.579228, -0.000116053, 0.0001629, 1, 3.67257e-05, 0.649917, -0.1765, 0.579464, 3.85851e-07, -0, 1, -9.39482e-08, 
32.464, 0.64941, -0.176176, 0.579212, -0.000150178, 0.000714153, 1, 3.60741e-05, 0.649917, -0.1765, 0.579464, 4.18163e-08, -5.26836e-09, 1, -4.68262e-08, 
32.564, 0.649247, -0.176175, 0.579044, -0.000400077, 0.00124204, 0.999999, 2.9937e-05, 0.649917, -0.1765, 0.579464, -3.05474e-07, 9.12506e-09, 1, -0, 
32.664, 0.64938, -0.176196, 0.579126, -0.000294685, 0.00193925, 0.999998, 3.23513e-05, 0.649917, -0.1765, 0.579464, -6.30598e-07, 9.12506e-09, 1, 4.18163e-08, 
32.764, 0.64945, -0.176115, 0.579167, -0.000245843, 0.00254296, 0.999997, 3.32694e-05, 0.649917, -0.1765, 0.579464, -8.97463e-07, 1.29048e-08, 1, 8.17869e-08, 
32.864, 0.649482, -0.176027, 0.57917, -0.000253313, 0.00306593, 0.999995, 3.28384e-05, 0.649917, -0.1765, 0.579464, -1.12457e-06, 1.39388e-08, 1, 1.17095e-07, 
32.964, 0.64967, -0.175901, 0.579307, -6.64467e-05, 0.00347414, 0.999994, 3.8814e-05, 0.649917, -0.1765, 0.579464, -1.31129e-06, 1.82501e-08, 1, 1.46096e-07, 
33.064, 0.649824, -0.175786, 0.579279, -0.000113448, 0.00376784, 0.999993, 3.75121e-05, 0.649917, -0.1765, 0.579464, -1.45554e-06, 1.666e-08, 1, 1.69327e-07, 
33.164, 0.649948, -0.175722, 0.579449, 0.00012463, 0.00402791, 0.999992, 4.33826e-05, 0.649917, -0.1765, 0.579464, -1.55533e-06, 2.23517e-08, 1, 1.86115e-07, 
33.264, 0.649988, -0.175676, 0.579372, 9.7652e-06, 0.0041816, 0.999991, 4.25203e-05, 0.649917, -0.1765, 0.579464, -1.60938e-06, 2.35608e-08, 1, 1.96701e-07, 
33.364, 0.649951, -0.175729, 0.579453, 0.000120737, 0.00440235, 0.99999, 4.39637e-05, 0.649917, -0.1765, 0.579464, -1.61708e-06, 2.35608e-08, 1, 2.00682e-07, 
33.464, 0.650075, -0.175581, 0.579375, 6.69269e-06, 0.00431122, 0.999991, 4.14746e-05, 0.649917, -0.1765, 0.579464, -1.57855e-06, 2.1722e-08, 1, 1.98597e-07, 
33.564, 0.650054, -0.175709, 0.579554, 0.000261404, 0.00447224, 0.99999, 4.68023e-05, 0.649917, -0.1765, 0.579464, -1.49459e-06, 2.10734e-08, 1, 1.89588e-07, 
33.664, 0.649884, -0.175843, 0.579368, -5.55038e-06, 0.00443667, 0.99999, 4.11688e-05, 0.649917, -0.1765, 0.579464, -1.36647e-06, 1.74732e-08, 1, 1.74414e-07, 
33.764, 0.649839, -0.17595, 0.579377, 5.57251e-06, 0.00433539, 0.999991, 4.00167e-05, 0.649917, -0.1765, 0.579464, -1.19607e-06, 1.666e-08, 1, 1.53236e-07, 
33.864, 0.649797, -0.176312, 0.579352, -2.89082e-05, 0.00433183, 0.999991, 4.01213e-05, 0.649917, -0.1765, 0.579464, -9.85591e-07, 1.58051e-08, 1, 1.26441e-07, 
33.964, 0.649632, -0.176735, 0.579342, -4.39574e-05, 0.00436611, 0.99999, 3.97534e-05, 0.649917, -0.1765, 0.579464, -7.37683e-07, 1.05367e-08, 1, 9.45373e-08, 
34.064, 0.649694, -0.176851, 0.579323, -7.05083e-05, 0.00380646, 0.999993, 3.858e-05, 0.649917, -0.1765, 0.579464, -4.5537e-07, 1.05367e-08, 1, 5.79519e-08, 
34.164, 0.649761, -0.176904, 0.5794, 3.95401e-05, 0.00314408, 0.999995, 4.14033e-05, 0.649917, -0.1765, 0.579464, -1.61954e-07, 0, 1, 2.04043e-08, 
34.264, 0.649869, -0.17692, 0.579462, 0.000130937, 0.0024278, 0.999997, 4.40833e-05, 0.649917, -0.1765, 0.579464, 1.66183e-07, -0, 1, -2.04043e-08, 
34.364, 0.649882, -0.176982, 0.579505, 0.000196063, 0.00193351, 0.999998, 4.69337e-05, 0.649917, -0.1765, 0.579464, 5.60901e-07, -9.12506e-09, 1, -7.04858e-08, 
34.464, 0.64996, -0.17693, 0.579543, 0.000255743, 0.00141321, 0.999999, 4.82165e-05, 0.649917, -0.1765, 0.579464, 9.49649e-07, -1.49012e-08, 1, -1.17332e-07, 
34.564, 0.650024, -0.176904, 0.579575, 0.000312024, 0.000901979, 1, 5.28462e-05, 0.649917, -0.1765, 0.579464, 1.35078e-06, -1.666e-08, 1, -1.63064e-07, 
34.664, 0.649998, -0.176893, 0.579572, 0.000322104, 0.000540393, 1, 5.38057e-05, 0.649917, -0.1765, 0.579464, 1.76367e-06, -2.68635e-08, 1, -2.07482e-07, 
34.764, 0.650086, -0.176872, 0.579554, 0.000315963, 0.000233488, 1, 5.33752e-05, 0.649917, -0.1765, 0.579464, 2.1845e-06, -2.9333e-08, 1, -2.49733e-07, 
34.864, 0.650139, -0.176661, 0.57949, 0.00025162, -0.000281042, 1, 5.47001e-05, 0.649917, -0.1765, 0.579464, 2.60916e-06, -3.68785e-08, 1, -2.88223e-07, 
34.964, 0.650238, -0.176622, 0.579481, 0.000271423, -0.000592856, 1, 5.48227e-05, 0.649917, -0.1765, 0.579464, 3.03357e-06, -4.14831e-08, 1, -3.21974e-07, 
35.064, 0.650289, -0.176548, 0.579454, 0.000278693, -0.000922025, 1, 5.93247e-05, 0.649917, -0.1765, 0.579464, 3.45376e-06, -4.94216e-08, 1, -3.50138e-07, 
35.164, 0.650459, -0.176462, 0.579475, 0.000359406, -0.00127179, 0.999999, 6.27405e-05, 0.649917, -0.1765, 0.579464, 3.86585e-06, -5.5255e-08, 1, -3.71559e-07, 
35.264, 0.650535, -0.176451, 0.579459, 0.000407301, -0.00158254, 0.999999, 7.92492e-05, 0.649917, -0.1765, 0.579464, 4.2661e-06, -6.16645e-08, 1, -3.85419e-07, 
35.364, 0.650684, -0.176347, 0.579451, 0.000471032, -0.00189805, 0.999998, 8.61158e-05, 0.649917, -0.1765, 0.579464, 4.65094e-06, -6.72619e-08, 1, -3.91102e-07, 
35.464, 0.650736, -0.17637, 0.579515, 0.000655679, -0.00207258, 0.999998, 0.000108435, 0.649917, -0.1765, 0.579464, 5.01698e-06, -7.20437e-08, 1, -3.87967e-07, 
35.564, 0.650696, -0.176511, 0.579453, 0.000675399, -0.00213054, 0.999997, 0.000117986, 0.649917, -0.1765, 0.579464, 5.36104e-06, -7.77863e-08, 1, -3.75719e-07, 
35.664, 0.650746, -0.176551, 0.579458, 0.00080255, -0.00221272, 0.999997, 0.000138104, 0.649917, -0.1765, 0.579464, 5.68019e-06, -8.27987e-08, 1, -3.54001e-07, 
35.764, 0.650851, -0.17656, 0.579456, 0.000931489, -0.00229178, 0.999997, 0.00017166, 0.649917, -0.1765, 0.579464, 5.9718e-06, -8.64075e-08, 1, -3.22964e-07, 
35.864, 0.650987, -0.176533, 0.579531, 0.00118499, -0.00236112, 0.999996, 0.000213077, 0.649917, -0.1765, 0.579464, 6.23341e-06, -9.09459e-08, 1, -2.82828e-07, 
35.964, 0.651065, -0.176645, 0.579513, 0.00131025, -0.00234832, 0.999996, 0.000261235, 0.649917, -0.1765, 0.579464, 6.46294e-06, -9.49766e-08, 1, -2.33834e-07, 
36.064, 0.651133, -0.176564, 0.579577, 0.00151667, -0.00236009, 0.999996, 0.000308514, 0.649917, -0.1765, 0.579464, 6.65859e-06, -9.82799e-08, 1, -1.7647e-07, 
36.164, 0.651115, -0.176672, 0.579534, 0.00152879, -0.00221998, 0.999996, 0.000337514, 0.649917, -0.1765, 0.579464, 6.81886e-06, -1.01476e-07, 1, -1.11759e-07, 
36.264, 0.65105, -0.176681, 0.579497, 0.00154276, -0.00212402, 0.999996, 0.000363043, 0.649917, -0.1765, 0.579464, 6.94258e-06, -1.03908e-07, 1, -4.11472e-08, 
36.364, 0.651079, -0.176587, 0.579454, 0.00155107, -0.00210711, 0.999997, 0.000391, 0.649917, -0.1765, 0.579464, 7.02891e-06, -1.05103e-07, 1, 3.6118e-08, 
36.464, 0.651114, -0.176533, 0.57947, 0.00160888, -0.00202832, 0.999997, 0.000426853, 0.649917, -0.1765, 0.579464, 7.07735e-06, -1.06416e-07, 1, 1.16262e-07, 
36.564, 0.651171, -0.176479, 0.57946, 0.0016036, -0.00204157, 0.999997, 0.000458897, 0.649917, -0.1765, 0.579464, 7.0877e-06, -1.07454e-07, 1, 1.99155e-07, 
36.664, 0.651182, -0.176318, 0.579457, 0.00158665, -0.00197212, 0.999997, 0.000479909, 0.649917, -0.1765, 0.579464, 7.06013e-06, -1.08098e-07, 1, 2.83465e-07, 
36.764, 0.651191, -0.176277, 0.579453, 0.00157851, -0.00194668, 0.999997, 0.000509116, 0.649917, -0.1765, 0.579464, 6.99511e-06, -1.07841e-07, 1, 3.67503e-07, 
36.864, 0.65119, -0.176261, 0.579455, 0.00154888, -0.00193238, 0.999997, 0.000522072, 0.649917, -0.1765, 0.579464, 6.89339e-06, -1.06936e-07, 1, 4.49542e-07, 
36.964, 0.651174, -0.176171, 0.579388, 0.0014221, -0.00193238, 0.999997, 0.000519638, 0.649917, -0.1765, 0.579464, 6.75608e-06, -1.05235e-07, 1, 5.27915e-07, 
37.064, 0.651229, -0.176072, 0.579434, 0.0014258, -0.00192909, 0.999997, 0.000537692, 0.649917, -0.1765, 0.579464, 6.58452e-06, -1.03373e-07, 1, 6.01078e-07, 
37.164, 0.651295, -0.175906, 0.57945, 0.00142917, -0.00203169, 0.999997, 0.000572406, 0.649917, -0.1765, 0.579464, 6.38034e-06, -1.00514e-07, 1, 6.67545e-07, 
37.264, 0.651299, -0.175969, 0.579491, 0.00144733, -0.00201016, 0.999997, 0.000604438, 0.649917, -0.1765, 0.579464, 6.14541e-06, -9.78554e-08, 1, 7.25715e-07, 
37.364, 0.651301, -0.175836, 0.579517, 0.00143145, -0.00204679, 0.999997, 0.000633332, 0.649917, -0.1765, 0.579464, 5.88083e-06, -9.39482e-08, 1, 7.73749e-07, 
37.464, 0.651273, -0.175847, 0.57952, 0.00142054, -0.00208148, 0.999997, 0.000654842, 0.649917, -0.1765, 0.579464, 5.56684e-06, -9.00257e-08, 1, 8.03903e-07, 
37.564, 0.651245, -0.175913, 0.57952, 0.00135531, -0.00196645, 0.999997, 0.000650541, 0.649917, -0.1765, 0.579464, 5.19266e-06, -8.47862e-08, 1, 8.12882e-07, 
37.664, 0.651154, -0.17602, 0.579553, 0.00132052, -0.00187056, 0.999997, 0.000661821, 0.649917, -0.1765, 0.579464, 4.7646e-06, -7.77863e-08, 1, 7.99316e-07, 
37.764, 0.651074, -0.175978, 0.579554, 0.00125663, -0.00183652, 0.999997, 0.00066055, 0.649917, -0.1765, 0.579464, 4.29036e-06, -6.98926e-08, 1, 7.62584e-07, 
37.864, 0.650929, -0.176149, 0.579531, 0.00117984, -0.00168088, 0.999998, 0.000651899, 0.649917, -0.1765, 0.579464, 3.77766e-06, -6.2113e-08, 1, 7.02353e-07, 
37.964, 0.650784, -0.176181, 0.579468, 0.00101508, -0.00153012, 0.999998, 0.000582582, 0.649917, -0.1765, 0.579464, 3.2343e-06, -5.37269e-08, 1, 6.18735e-07, 
38.064, 0.650645, -0.176304, 0.579441, 0.000921875, -0.00143952, 0.999998, 0.000553288, 0.649917, -0.1765, 0.579464, 2.66805e-06, -4.40782e-08, 1, 5.12576e-07, 
38.164, 0.650448, -0.176469, 0.579451, 0.000875219, -0.00114516, 0.999999, 0.000544114, 0.649917, -0.1765, 0.579464, 2.08664e-06, -3.45469e-08, 1, 3.84915e-07, 
38.264, 0.650202, -0.176568, 0.579498, 0.000900698, -0.00113633, 0.999999, 0.000579717, 0.649917, -0.1765, 0.579464, 1.49769e-06, -2.41426e-08, 1, 2.37427e-07, 
38.364, 0.649872, -0.176713, 0.579394, 0.000707529, -0.00088214, 0.999999, 0.000479916, 0.649917, -0.1765, 0.579464, 9.08665e-07, -9.12506e-09, 1, 7.26193e-08, 
38.464, 0.649802, -0.176746, 0.579593, 0.000892159, -0.000906247, 0.999999, 0.000612958, 0.649917, -0.1765, 0.579464, 3.27783e-07, -5.26836e-09, 1, -1.07325e-07, 
38.564, 0.649665, -0.176767, 0.579307, 0.000374095, -0.000723469, 1, 0.000292075, 0.649917, -0.1765, 0.579464, -2.04314e-07, 0, 1, -3.15046e-07, 
38.664, 0.649663, -0.176762, 0.579379, 0.000341537, -0.000679556, 1, 0.000273043, 0.649917, -0.1765, 0.579464, -7.09255e-07, 1.58051e-08, 1, -5.02956e-07, 
38.764, 0.649592, -0.176765, 0.579557, 0.000445309, -0.000609202, 1, 0.000350551, 0.649917, -0.1765, 0.579464, -1.16514e-06, 2.41426e-08, 1, -6.73505e-07, 
38.864, 0.649613, -0.176704, 0.579456, 0.000159711, -0.000545793, 1, 0.00015415, 0.649917, -0.1765, 0.579464, -1.57467e-06, 3.16101e-08, 1, -8.38844e-07, 
38.964, 0.649527, -0.176758, 0.579569, 0.000156806, -0.00049859, 1, 0.00015947, 0.649917, -0.1765, 0.579464, -1.93898e-06, 3.79907e-08, 1, -9.97989e-07, 
39.064, 0.649516, -0.176723, 0.57956, -3.27895e-06, -0.000544366, 1, 3.49715e-05, 0.649917, -0.1765, 0.579464, -2.25896e-06, 4.50129e-08, 1, -1.14931e-06, 
39.164, 0.649386, -0.176829, 0.579428, -0.000312865, -0.000500952, 1, -0.000204341, 0.649917, -0.1765, 0.579464, -2.53561e-06, 5.05323e-08, 1, -1.29107e-06, 
39.264, 0.649281, -0.177022, 0.57949, -0.000355488, -0.000435996, 1, -0.000240199, 0.649917, -0.1765, 0.579464, -2.77006e-06, 5.44963e-08, 1, -1.42172e-06, 
39.364, 0.649185, -0.17707, 0.579322, -0.000656624, -0.000450967, 1, -0.00049055, 0.649917, -0.1765, 0.579464, -2.96344e-06, 5.96046e-08, 1, -1.53985e-06, 
39.464, 0.649089, -0.177096, 0.579296, -0.000761344, -0.000501601, 0.999999, -0.000583131, 0.649917, -0.1765, 0.579464, -3.11718e-06, 6.12128e-08, 1, -1.64423e-06, 
39.564, 0.649044, -0.177213, 0.579527, -0.000514109, -0.000450124, 1, -0.000390009, 0.649917, -0.1765, 0.579464, -3.23287e-06, 6.45239e-08, 1, -1.73381e-06, 
39.664, 0.649019, -0.177264, 0.579244, -0.000898132, -0.000440135, 0.999999, -0.000725066, 0.649917, -0.1765, 0.579464, -3.31223e-06, 6.70552e-08, 1, -1.80782e-06, 
39.764, 0.648958, -0.177368, 0.579424, -0.000731082, -0.000276529, 1, -0.000589957, 0.649917, -0.1765, 0.579464, -3.35718e-06, 6.7878e-08, 1, -1.86568e-06, 
39.864, 0.648919, -0.177502, 0.579516, -0.000658261, -0.000239425, 1, -0.000536455, 0.649917, -0.1765, 0.579464, -3.3698e-06, 6.82857e-08, 1, -1.90703e-06, 
39.964, 0.648863, -0.177508, 0.579518, -0.000680189, -0.000159876, 1, -0.000564465, 0.649917, -0.1765, 0.579464, -3.35226e-06, 6.82857e-08, 1, -1.93176e-06, 
40.064, 0.648866, -0.177622, 0.579204, -0.0010638, -3.04943e-05, 0.999999, -0.000937723, 0.649917, -0.1765, 0.579464, -3.30572e-06, 6.7878e-08, 1, -1.93931e-06, 
40.164, 0.648861, -0.177582, 0.579577, -0.000621147, 3.19849e-05, 1, -0.000543708, 0.649917, -0.1765, 0.579464, -3.23104e-06, 6.62222e-08, 1, -1.92901e-06, 
40.264, 0.64888, -0.177636, 0.579415, -0.000811678, 0.00015446, 0.999999, -0.000723965, 0.649917, -0.1765, 0.579464, -3.13142e-06, 6.49527e-08, 1, -1.90161e-06, 
40.364, 0.648843, -0.177637, 0.579353, -0.000860935, 0.000232293, 0.999999, -0.000786225, 0.649917, -0.1765, 0.579464, -3.00999e-06, 6.27797e-08, 1, -1.85833e-06, 
40.464, 0.648836, -0.177765, 0.579239, -0.000994731, 0.000398144, 0.999999, -0.000933916, 0.649917, -0.1765, 0.579464, -2.8698e-06, 5.96046e-08, 1, -1.80023e-06, 
40.564, 0.648911, -0.177733, 0.5792, -0.00102026, 0.000449419, 0.999999, -0.000967488, 0.649917, -0.1765, 0.579464, -2.71371e-06, 5.67419e-08, 1, -1.72857e-06, 
40.664, 0.648915, -0.177726, 0.579198, -0.000984699, 0.0004364, 0.999999, -0.000950005, 0.649917, -0.1765, 0.579464, -2.54324e-06, 5.39846e-08, 1, -1.64374e-06, 
40.764, 0.648965, -0.177448, 0.579391, -0.00073611, 0.000335621, 0.999999, -0.000706634, 0.649917, -0.1765, 0.579464, -2.35775e-06, 5.10786e-08, 1, -1.54481e-06, 
40.864, 0.649046, -0.177461, 0.579003, -0.00110705, 0.000416182, 0.999999, -0.00109845, 0.649917, -0.1765, 0.579464, -2.1605e-06, 4.68262e-08, 1, -1.43365e-06, 
40.964, 0.649066, -0.177244, 0.579176, -0.000882188, 0.000309974, 0.999999, -0.000881262, 0.649917, -0.1765, 0.579464, -1.95522e-06, 4.14831e-08, 1, -1.31255e-06, 
41.064, 0.649196, -0.177211, 0.579155, -0.000871764, 0.000320658, 0.999999, -0.000882953, 0.649917, -0.1765, 0.579464, -1.74529e-06, 3.87144e-08, 1, -1.18381e-06, 
41.164, 0.649223, -0.177157, 0.579158, -0.000841666, 0.000324643, 0.999999, -0.000862091, 0.649917, -0.1765, 0.579464, -1.53372e-06, 3.24763e-08, 1, -1.04958e-06, 
41.264, 0.649188, -0.1772, 0.579172, -0.000801838, 0.000346561, 0.999999, -0.000833168, 0.649917, -0.1765, 0.579464, -1.32322e-06, 2.8856e-08, 1, -9.11913e-07, 
41.364, 0.649142, -0.177223, 0.579105, -0.000851684, 0.000254666, 0.999999, -0.000900138, 0.649917, -0.1765, 0.579464, -1.11618e-06, 2.63418e-08, 1, -7.7269e-07, 
41.464, 0.649092, -0.177139, 0.57908, -0.000867985, 9.34236e-05, 0.999999, -0.000926201, 0.649917, -0.1765, 0.579464, -9.148e-07, 2.1722e-08, 1, -6.33759e-07, 
41.564, 0.64914, -0.177193, 0.579064, -0.00087798, 0.000210471, 0.999999, -0.000945299, 0.649917, -0.1765, 0.579464, -7.20938e-07, 1.58051e-08, 1, -4.96904e-07, 
41.664, 0.649175, -0.177188, 0.579061, -0.000873789, 0.000177983, 0.999999, -0.000948245, 0.649917, -0.1765, 0.579464, -5.36338e-07, 1.05367e-08, 1, -3.63784e-07, 
41.764, 0.649281, -0.177173, 0.579062, -0.000867473, 0.000240188, 0.999999, -0.000951626, 0.649917, -0.1765, 0.579464, -3.62599e-07, 7.45058e-09, 1, -2.35785e-07, 
41.864, 0.649299, -0.177078, 0.579102, -0.000821364, 0.000219939, 0.999999, -0.000905565, 0.649917, -0.1765, 0.579464, -2.1843e-07, 5.26836e-09, 1, -1.25006e-07, 
41.964, 0.649441, -0.177023, 0.57923, -0.000685374, 0.00035033, 0.999999, -0.000755748, 0.649917, -0.1765, 0.579464, -1.02021e-07, 5.26836e-09, 1, -2.9333e-08, 
42.064, 0.64962, -0.176858, 0.579311, -0.000595901, 0.000416808, 1, -0.000654534, 0.649917, -0.1765, 0.579464, 2.58096e-08, 0, 1, 7.77863e-08, 
42.164, 0.649703, -0.17675, 0.579385, -0.000512443, 0.000495755, 1, -0.000558587, 0.649917, -0.1765, 0.579464, 1.64336e-07, -0, 1, 1.94073e-07, 
42.264, 0.649855, -0.176764, 0.579501, -0.000384294, 0.000680176, 1, -0.000409303, 0.649917, -0.1765, 0.579464, 2.98489e-07, -0, 1, 3.05383e-07, 
42.364, 0.64986, -0.176698, 0.579552, -0.00031939, 0.00074439, 1, -0.00033457, 0.649917, -0.1765, 0.579464, 3.87824e-07, -7.45058e-09, 1, 3.7197e-07, 
42.464, 0.649913, -0.176704, 0.579591, -0.000263786, 0.000732118, 1, -0.000270118, 0.649917, -0.1765, 0.579464, 4.55675e-07, -9.12506e-09, 1, 4.22028e-07, 
42.564, 0.649841, -0.176714, 0.579563, -0.0002705, 0.000755252, 1, -0.000280065, 0.649917, -0.1765, 0.579464, 5.05378e-07, -7.45058e-09, 1, 4.58498e-07, 
42.664, 0.649915, -0.176593, 0.579536, -0.000280145, 0.000663276, 1, -0.000291277, 0.649917, -0.1765, 0.579464, 5.36649e-07, -7.45058e-09, 1, 4.80664e-07, 
42.764, 0.649973, -0.176312, 0.579583, -0.000220566, 0.000626741, 1, -0.000219894, 0.649917, -0.1765, 0.579464, 5.48997e-07, -1.05367e-08, 1, 4.878e-07, 
42.864, 0.65004, -0.176122, 0.579595, -0.000195591, 0.000447571, 1, -0.000190112, 0.649917, -0.1765, 0.579464, 5.42308e-07, -1.05367e-08, 1, 4.79391e-07, 
42.964, 0.650069, -0.176139, 0.579564, -0.000216045, 0.000471612, 1, -0.000216925, 0.649917, -0.1765, 0.579464, 5.16245e-07, -1.17804e-08, 1, 4.54791e-07, 
43.064, 0.649982, -0.176225, 0.579505, -0.000264313, 0.000415927, 1, -0.000279941, 0.649917, -0.1765, 0.579464, 4.70627e-07, -1.05367e-08, 1, 4.13893e-07, 
43.164, 0.649821, -0.176382, 0.579472, -0.000288825, 0.000272633, 1, -0.000312529, 0.649917, -0.1765, 0.579464, 4.07779e-07, -1.17804e-08, 1, 3.58209e-07, 
43.264, 0.649808, -0.176518, 0.579424, -0.000332925, 0.000313181, 1, -0.000358357, 0.649917, -0.1765, 0.579464, 3.337e-07, -0, 1, 2.93046e-07, 
43.364, 0.649587, -0.176296, 0.579417, -0.000339207, 0.000276692, 1, -0.000361621, 0.649917, -0.1765, 0.579464, 2.55393e-07, -7.45058e-09, 1, 2.24632e-07, 
43.464, 0.649478, -0.176116, 0.579419, -0.000335952, 0.000280364, 1, -0.000362133, 0.649917, -0.1765, 0.579464, 2.11654e-07, -0, 1, 1.86265e-07, 
43.564, 0.649425, -0.175791, 0.579422, -0.000332457, 0.000215772, 1, -0.000358649, 0.649917, -0.1765, 0.579464, 1.666e-07, -0, 1, 1.46948e-07, 
43.664, 0.649557, -0.175731, 0.579424, -0.00032955, 0.000626432, 1, -0.000354773, 0.649917, -0.1765, 0.579464, 1.13362e-07, -5.26836e-09, 1, 1.00927e-07, 
43.764, 0.649567, -0.175779, 0.579424, -0.00032757, 0.00127711, 0.999999, -0.000350334, 0.649917, -0.1765, 0.579464, 5.55056e-08, -1.29048e-08, 1, 5.08062e-08, 
43.864, 0.64952, -0.176012, 0.57941, -0.000339735, 0.00206735, 0.999998, -0.000364909, 0.649917, -0.1765, 0.579464, -0, 0, 1, -0, 
43.964, 0.649516, -0.176253, 0.579351, -0.000396052, 0.00276661, 0.999996, -0.0004319, 0.649917, -0.1765, 0.579464, -6.02991e-08, 5.26836e-09, 1, -4.914e-08, 
44.064, 0.649417, -0.176425, 0.579324, -0.000416462, 0.00329872, 0.999994, -0.000454657, 0.649917, -0.1765, 0.579464, -1.10761e-07, 0, 1, -9.24593e-08, 
44.164, 0.649294, -0.176618, 0.579272, -0.000445065, 0.00374361, 0.999993, -0.000485784, 0.649917, -0.1765, 0.579464, -1.51138e-07, 1.05367e-08, 1, -1.27425e-07, 
44.264, 0.649223, -0.176797, 0.579276, -0.000437387, 0.00411721, 0.999991, -0.000475678, 0.649917, -0.1765, 0.579464, -1.78969e-07, 7.45058e-09, 1, -1.51047e-07, 
44.364, 0.649096, -0.176815, 0.579252, -0.000455516, 0.00436373, 0.99999, -0.000492934, 0.649917, -0.1765, 0.579464, -1.90245e-07, 0, 1, -1.61353e-07, 
44.464, 0.649083, -0.17682, 0.57925, -0.0004602, 0.00446907, 0.99999, -0.000492237, 0.649917, -0.1765, 0.579464, -1.82425e-07, 5.26836e-09, 1, -1.55483e-07, 
44.564, 0.649014, -0.176811, 0.579248, -0.000461462, 0.00461053, 0.999989, -0.000493597, 0.649917, -0.1765, 0.579464, -1.52419e-07, 0, 1, -1.31709e-07, 
44.664, 0.64913, -0.176696, 0.579248, -0.000463796, 0.00477523, 0.999988, -0.000489827, 0.649917, -0.1765, 0.579464, -9.75713e-08, 0, 1, -8.79989e-08, 
44.764, 0.649197, -0.176643, 0.579256, -0.000453493, 0.00493972, 0.999988, -0.000473279, 0.649917, -0.1765, 0.579464, -1.58051e-08, -0, 1, -2.29642e-08, 
44.864, 0.649393, -0.176373, 0.579308, -0.000400226, 0.00485363, 0.999988, -0.000406148, 0.649917, -0.1765, 0.579464, 9.51226e-08, -7.45058e-09, 1, 6.45239e-08, 
44.964, 0.649482, -0.17597, 0.579359, -0.000342762, 0.00470274, 0.999989, -0.00033899, 0.649917, -0.1765, 0.579464, 2.37602e-07, -7.45058e-09, 1, 1.76155e-07, 
45.064, 0.649717, -0.17579, 0.579456, -0.000229528, 0.00468953, 0.999989, -0.00020611, 0.649917, -0.1765, 0.579464, 3.85239e-07, -5.26836e-09, 1, 2.90429e-07, 
45.164, 0.649863, -0.175593, 0.579521, -0.000141581, 0.00478784, 0.999989, -0.000108866, 0.649917, -0.1765, 0.579464, 5.15357e-07, -9.12506e-09, 1, 3.90036e-07, 
45.264, 0.650038, -0.175417, 0.579592, -3.42926e-05, 0.00476202, 0.999989, 1.50955e-07, 0.649917, -0.1765, 0.579464, 6.52957e-07, -1.39388e-08, 1, 4.92894e-07, 
45.364, 0.650094, -0.175395, 0.579558, -3.17319e-05, 0.00469132, 0.999989, 1.00036e-05, 0.649917, -0.1765, 0.579464, 7.98847e-07, -1.82501e-08, 1, 5.99112e-07, 
45.464, 0.650241, -0.175173, 0.579614, 7.18011e-05, 0.00466343, 0.999989, 0.000116124, 0.649917, -0.1765, 0.579464, 9.52233e-07, -2.35608e-08, 1, 7.07511e-07, 
