Time, q_r1, q_r2, q_r3, q_r4, q_r5, q_r6, q_r7, q_r8, q_r9, dq_r1, dq_r2, dq_r3, dq_r4, dq_r5, dq_r6, dq_r7, dq_r8, dq_r9, q_n1, q_n2, q_n3, q_n4, q_n5, q_n6, q_n7, q_n8, q_n9, dq_n1, dq_n2, dq_n3, dq_n4, dq_n5, dq_n6, dq_n7, dq_n8, dq_n9
66.63, -0.0460631, 0.162253, 0.0560147, -0.429294, -0.339415, -1.15806, -4.17668e-05, -1.64397, -0.373405, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71417e-15, 3.60363e-15, 3.23072e-16, 2.73601e-14, -2.7548e-14, 1.09977e-13, -1.19723e-17, -8.22714e-14, 2.76809e-14, 
66.73, -0.046059, 0.162258, 0.0560091, -0.429293, -0.339415, -1.15807, -4.2716e-05, -1.64396, -0.373405, 0, 0, -0, -0, -0.00237704, 0, -0, 0.00379698, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71326e-15, 3.60323e-15, 3.21962e-16, 2.73618e-14, -2.75454e-14, 1.09973e-13, -1.19723e-17, -8.22701e-14, 2.76815e-14, 
66.83, -0.046059, 0.162258, 0.0560091, -0.429294, -0.339413, -1.15807, -4.08176e-05, -1.64396, -0.373405, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71412e-15, 3.60359e-15, 3.22683e-16, 2.73443e-14, -2.75654e-14, 1.10012e-13, 9.34398e-18, -8.22998e-14, 2.76667e-14, 
66.93, -0.046059, 0.162258, 0.0560091, -0.429294, -0.339412, -1.15807, -3.98683e-05, -1.64397, -0.373407, 0, 0, -0, -0, -0, 0, 0.00379698, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71304e-15, 3.60319e-15, 3.21407e-16, 2.73574e-14, -2.75396e-14, 1.09966e-13, -4.86688e-18, -8.22611e-14, 2.76769e-14, 
67.03, -0.046059, 0.162258, 0.0560091, -0.429296, -0.339412, -1.15807, -4.08176e-05, -1.64397, -0.373406, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.7147e-15, 3.60388e-15, 3.23294e-16, 2.73545e-14, -2.75738e-14, 1.10016e-13, -4.86688e-18, -8.23066e-14, 2.76766e-14, 
67.13, -0.0460845, 0.162232, 0.0559831, -0.429298, -0.339412, -1.15807, -3.98683e-05, -1.64397, -0.373408, -0.000221075, -0.000221075, -0.000307049, -0, -0, 0, 0.00284774, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71415e-15, 3.60351e-15, 3.22239e-16, 2.73507e-14, -2.75605e-14, 1.10002e-13, 2.23855e-18, -8.22922e-14, 2.7672e-14, 
67.23, -0.0460905, 0.162226, 0.0560009, -0.429298, -0.339411, -1.15807, -4.17668e-05, -1.64397, -0.373408, -0.000221075, -0.000221075, 0.000307049, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71262e-15, 3.6029e-15, 3.20907e-16, 2.73583e-14, -2.75329e-14, 1.09959e-13, -4.86688e-18, -8.2256e-14, 2.76774e-14, 
67.33, -0.0461108, 0.162206, 0.0560292, -0.429299, -0.33941, -1.15807, -3.98683e-05, -1.64397, -0.373408, -0.000110538, -0.000110538, 0.000153524, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.7134e-15, 3.60325e-15, 3.20685e-16, 2.73589e-14, -2.75667e-14, 1.10005e-13, -4.86688e-18, -8.23011e-14, 2.76783e-14, 
67.43, -0.046127, 0.16219, 0.0560442, -0.429299, -0.339409, -1.15807, -4.08176e-05, -1.64397, -0.373408, -0.000110538, -0.000110538, 0.000153524, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.7144e-15, 3.60363e-15, 3.22128e-16, 2.73509e-14, -2.75716e-14, 1.10016e-13, 2.23855e-18, -8.23052e-14, 2.76722e-14, 
67.53, -0.0461515, 0.16219, 0.0560691, -0.429301, -0.339408, -1.15807, -4.17668e-05, -1.64397, -0.373407, -0.00143699, 0.000552688, 0.00199582, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71368e-15, 3.60352e-15, 3.2235e-16, 2.73559e-14, -2.75503e-14, 1.09984e-13, -4.86688e-18, -8.22769e-14, 2.76766e-14, 
67.63, -0.0461558, 0.162194, 0.0560751, -0.429301, -0.339406, -1.15807, -4.08176e-05, -1.64397, -0.373408, 0.000773763, -0.000773763, -0.00107467, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71387e-15, 3.60338e-15, 3.21629e-16, 2.7335e-14, -2.75778e-14, 1.10037e-13, 2.35548e-17, -8.23226e-14, 2.76575e-14, 
67.73, -0.0461504, 0.162196, 0.0560675, -0.429302, -0.339407, -1.15807, -3.98683e-05, -1.64397, -0.373409, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71551e-15, 3.60419e-15, 3.23683e-16, 2.73317e-14, -2.76067e-14, 1.10076e-13, 1.64494e-17, -8.23549e-14, 2.7656e-14, 
67.83, -0.046153, 0.162206, 0.0560711, -0.429303, -0.339404, -1.15807, -4.08176e-05, -1.64397, -0.373409, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71507e-15, 3.60401e-15, 3.23849e-16, 2.73472e-14, -2.758e-14, 1.10034e-13, 9.34398e-18, -8.23202e-14, 2.76708e-14, 
67.93, -0.046153, 0.162206, 0.0560711, -0.429304, -0.339404, -1.15807, -4.08176e-05, -1.64397, -0.373407, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71299e-15, 3.60305e-15, 3.21129e-16, 2.7369e-14, -2.75245e-14, 1.09938e-13, -1.90777e-17, -8.22375e-14, 2.7687e-14, 
68.03, -0.046153, 0.162206, 0.0560711, -0.429304, -0.339404, -1.15807, -4.08176e-05, -1.64397, -0.373409, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71493e-15, 3.60384e-15, 3.23016e-16, 2.73497e-14, -2.75858e-14, 1.10037e-13, 2.23855e-18, -8.23248e-14, 2.76719e-14, 
68.13, -0.046153, 0.162206, 0.0560711, -0.429304, -0.339404, -1.15807, -4.08176e-05, -1.64397, -0.373408, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71423e-15, 3.6035e-15, 3.21629e-16, 2.73683e-14, -2.75547e-14, 1.0998e-13, -1.90777e-17, -8.22779e-14, 2.76871e-14, 
68.23, -0.046153, 0.162206, 0.0560711, -0.429305, -0.339401, -1.15807, -3.98683e-05, -1.64397, -0.373407, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71312e-15, 3.60326e-15, 3.21795e-16, 2.73632e-14, -2.75316e-14, 1.09948e-13, -1.19723e-17, -8.22459e-14, 2.76826e-14, 
68.33, -0.046153, 0.162206, 0.0560711, -0.429305, -0.339401, -1.15807, -4.08176e-05, -1.64397, -0.373407, 0, 0, -0, -0, -0, 0, -0, 0.00284774, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71415e-15, 3.60355e-15, 3.22239e-16, 2.73401e-14, -2.75738e-14, 1.10027e-13, 1.64494e-17, -8.23113e-14, 2.76627e-14, 
68.43, -0.046153, 0.162206, 0.0560711, -0.429305, -0.339401, -1.15807, -4.08176e-05, -1.64397, -0.373408, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71482e-15, 3.60399e-15, 3.23072e-16, 2.73548e-14, -2.75689e-14, 1.10009e-13, -4.86688e-18, -8.22988e-14, 2.76764e-14, 
68.53, -0.046153, 0.162206, 0.0560711, -0.429305, -0.3394, -1.15807, -4.2716e-05, -1.64397, -0.373408, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71501e-15, 3.60416e-15, 3.23572e-16, 2.73423e-14, -2.75876e-14, 1.10044e-13, 9.34398e-18, -8.23291e-14, 2.76657e-14, 
68.63, -0.0461144, 0.162244, 0.0560175, -0.429307, -0.3394, -1.15807, -3.98683e-05, -1.64397, -0.373408, 0, 0, -0, -0, -0, 0, 0.00284774, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71368e-15, 3.60363e-15, 3.22295e-16, 2.73667e-14, -2.75391e-14, 1.09959e-13, -1.90777e-17, -8.22552e-14, 2.76861e-14, 
68.73, -0.0461144, 0.162244, 0.0560175, -0.429305, -0.3394, -1.15807, -3.89191e-05, -1.64397, -0.373407, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71387e-15, 3.60345e-15, 3.21906e-16, 2.73457e-14, -2.75738e-14, 1.1003e-13, 1.64494e-17, -8.23202e-14, 2.7668e-14, 
68.83, -0.0461552, 0.162203, 0.0560763, -0.429307, -0.339399, -1.15807, -4.08176e-05, -1.64397, -0.37341, 0.000221075, 0.000221075, 0.000921146, -0, -0, 0, -0, -0, -0.00379698, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71246e-15, 3.60288e-15, 3.20019e-16, 2.73654e-14, -2.75245e-14, 1.09941e-13, -1.19723e-17, -8.22396e-14, 2.76829e-14, 
68.93, -0.0461065, 0.162252, 0.0560582, -0.429309, -0.339398, -1.15807, -4.08176e-05, -1.64397, -0.373408, -0.000110538, -0.000110538, -0.000153524, -0, -0, 0, -0, -0.00284774, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71415e-15, 3.60365e-15, 3.22295e-16, 2.73339e-14, -2.75831e-14, 1.10044e-13, 2.35548e-17, -8.2327e-14, 2.76571e-14, 
69.03, -0.046141, 0.162229, 0.0560705, -0.429308, -0.339396, -1.15807, -4.17668e-05, -1.64397, -0.37341, -0.00276344, -0.00121591, -0.00199582, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71346e-15, 3.6034e-15, 3.22017e-16, 2.73568e-14, -2.75471e-14, 1.09977e-13, -4.86688e-18, -8.22702e-14, 2.76771e-14, 
69.13, -0.046115, 0.162258, 0.0560485, -0.429309, -0.339395, -1.15808, -4.17668e-05, -1.64397, -0.373409, -0.000110538, 0.000552688, -0.000767622, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71379e-15, 3.60365e-15, 3.22905e-16, 2.73494e-14, -2.75565e-14, 1.09995e-13, 2.23855e-18, -8.22841e-14, 2.76714e-14, 
69.23, -0.0461075, 0.162261, 0.0560451, -0.429309, -0.339396, -1.15808, -4.08176e-05, -1.64397, -0.373408, 0.00198968, 0.00198968, -0.00276344, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71437e-15, 3.60377e-15, 3.23127e-16, 2.73328e-14, -2.75809e-14, 1.10041e-13, 2.35548e-17, -8.23223e-14, 2.7657e-14, 
69.33, -0.0461001, 0.162262, 0.0560434, -0.42931, -0.339393, -1.15808, -3.98683e-05, -1.64397, -0.373409, 0, 0, -0, -0, -0, 0, -0, -0, -0.00284774, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71443e-15, 3.60379e-15, 3.22905e-16, 2.73548e-14, -2.75742e-14, 1.1002e-13, -4.86688e-18, -8.23094e-14, 2.76764e-14, 
69.43, -0.0460965, 0.162258, 0.0560485, -0.42931, -0.339394, -1.15808, -4.17668e-05, -1.64397, -0.373407, 0, 0, -0, -0, -0, 0, -0, -0.00379698, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71385e-15, 3.60354e-15, 3.21851e-16, 2.7351e-14, -2.75627e-14, 1.10005e-13, 2.23855e-18, -8.2297e-14, 2.7672e-14, 
69.53, -0.0460965, 0.162258, 0.0560485, -0.429311, -0.339392, -1.15808, -3.98683e-05, -1.64398, -0.373408, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71326e-15, 3.60304e-15, 3.20574e-16, 2.73534e-14, -2.75445e-14, 1.0998e-13, 2.23855e-18, -8.22733e-14, 2.76728e-14, 
69.63, -0.0461001, 0.162262, 0.0560434, -0.429312, -0.339392, -1.15808, -4.2716e-05, -1.64397, -0.373406, 0, 0, -0, -0, -0, 0, -0, 0.00284774, 0.00284774, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71226e-15, 3.60258e-15, 3.19464e-16, 2.73665e-14, -2.75218e-14, 1.09938e-13, -1.19723e-17, -8.22378e-14, 2.76835e-14, 
69.73, -0.0461001, 0.162262, 0.0560434, -0.429313, -0.339392, -1.15808, -3.98683e-05, -1.64398, -0.373409, 0, 0, -0, -0, -0, 0, 0.00284774, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71365e-15, 3.60325e-15, 3.21407e-16, 2.73521e-14, -2.75676e-14, 1.10012e-13, 2.23855e-18, -8.23052e-14, 2.76728e-14, 
69.83, -0.0461001, 0.162262, 0.0560434, -0.429312, -0.339392, -1.15808, -4.08176e-05, -1.64398, -0.373408, 0, 0, -0, -0, -0, 0, -0, -0.00284774, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71368e-15, 3.60338e-15, 3.21518e-16, 2.7357e-14, -2.75454e-14, 1.09977e-13, -4.86688e-18, -8.22708e-14, 2.76767e-14, 
69.93, -0.0460968, 0.162265, 0.0560388, -0.429312, -0.339392, -1.15808, -4.17668e-05, -1.64398, -0.373408, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71324e-15, 3.60313e-15, 3.20796e-16, 2.7359e-14, -2.75423e-14, 1.0997e-13, -4.86688e-18, -8.22643e-14, 2.7678e-14, 
70.03, -0.0460968, 0.162265, 0.0560388, -0.429312, -0.339388, -1.15808, -3.98683e-05, -1.64398, -0.373409, 0, 0, -0, -0, 0.00237704, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71387e-15, 3.60338e-15, 3.21795e-16, 2.73359e-14, -2.75733e-14, 1.10027e-13, 2.35548e-17, -8.23103e-14, 2.76587e-14, 
70.13, -0.0460968, 0.162265, 0.0560388, -0.429313, -0.33939, -1.15808, -4.17668e-05, -1.64398, -0.373407, 0, 0, -0, -0, -0, 0, -0, -0, 0.00379698, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.7134e-15, 3.60329e-15, 3.22017e-16, 2.73623e-14, -2.75445e-14, 1.0997e-13, -1.19723e-17, -8.22655e-14, 2.76821e-14, 
70.23, -0.0460968, 0.162265, 0.0560388, -0.429313, -0.339387, -1.15808, -3.98683e-05, -1.64398, -0.373408, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71515e-15, 3.60397e-15, 3.23072e-16, 2.73494e-14, -2.7584e-14, 1.10034e-13, 2.23855e-18, -8.23208e-14, 2.76719e-14, 
70.33, -0.04611, 0.162278, 0.0560571, -0.429313, -0.339388, -1.15808, -3.98683e-05, -1.64398, -0.373408, -0.000773763, 0.000773763, 0.00107467, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71396e-15, 3.60331e-15, 3.21074e-16, 2.73357e-14, -2.75591e-14, 1.10012e-13, 3.06603e-17, -8.22955e-14, 2.76579e-14, 
70.43, -0.04611, 0.162278, 0.0560571, -0.429313, -0.339388, -1.15808, -4.08176e-05, -1.64398, -0.373409, 0, 0, -0, -0, -0, 0, -0, 0.00284774, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71326e-15, 3.60312e-15, 3.20685e-16, 2.7359e-14, -2.75369e-14, 1.09963e-13, -4.86688e-18, -8.22566e-14, 2.76778e-14, 
70.53, -0.04611, 0.162278, 0.0560571, -0.429313, -0.339387, -1.15808, -4.08176e-05, -1.64398, -0.373408, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71326e-15, 3.60297e-15, 3.20296e-16, 2.73536e-14, -2.75449e-14, 1.0998e-13, 9.34398e-18, -8.22731e-14, 2.76735e-14, 
70.63, -0.04611, 0.162278, 0.0560571, -0.429314, -0.339387, -1.15808, -4.08176e-05, -1.64398, -0.373409, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71407e-15, 3.60337e-15, 3.21296e-16, 2.7357e-14, -2.75631e-14, 1.10005e-13, 2.23855e-18, -8.23024e-14, 2.76774e-14, 
70.73, -0.04611, 0.162278, 0.0560571, -0.429314, -0.339385, -1.15808, -4.08176e-05, -1.64398, -0.373409, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0.0461196, 0.162242, 0.0560524, -0.429272, -0.339341, -1.15817, 8.64658e-08, -1.64408, -0.373219, -1.71371e-15, 3.60329e-15, 3.21407e-16, 2.73579e-14, -2.75489e-14, 1.0998e-13, -4.86688e-18, -8.22727e-14, 2.76776e-14, 
70.83, -0.0428006, 0.162278, 0.0560548, -0.430483, -0.334678, -1.16661, -2.27819e-05, -1.64205, -0.375471, 0.0754971, -0.00320559, 0.00107467, -0.0380326, 0.130737, -0.205217, 0.00284774, 0.0436653, -0.054107, -0.0425614, 0.162244, 0.056059, -0.431902, -0.332529, -1.16788, -1.54859e-07, -1.64118, -0.375843, 0.0795795, 8.176e-05, 0.000285462, -0.0594782, 0.15168, -0.215501, -6.67944e-06, 0.0638893, -0.059194, 
70.93, -0.0319332, 0.162317, 0.0560791, -0.438288, -0.314371, -1.19492, -2.27819e-05, -1.63488, -0.383079, 0.126234, 0.000663225, 0.00276344, -0.0958738, 0.237704, -0.329616, -0, 0.0778381, -0.0949246, -0.031748, 0.162267, 0.0561402, -0.440225, -0.312185, -1.19653, -1.01033e-06, -1.63287, -0.384085, 0.127501, 0.000362299, 0.00133835, -0.100759, 0.236884, -0.330613, -8.72028e-06, 0.0938487, -0.0994222, 
71.03, -0.0189598, 0.162345, 0.0562704, -0.448871, -0.290162, -1.22812, 2.84774e-06, -1.62671, -0.393046, 0.130545, -0.00121591, 0.00353106, -0.107759, 0.238496, -0.327239, -0, 0.0787874, -0.103468, -0.0185821, 0.162306, 0.0562918, -0.450895, -0.288053, -1.22985, -1.69174e-06, -1.62367, -0.394604, 0.130513, 0.000355605, 0.00143163, -0.108034, 0.236216, -0.322618, -4.87865e-06, 0.0865072, -0.106603, 
71.13, -0.0065835, 0.16235, 0.0563958, -0.459266, -0.267917, -1.25818, 1.99342e-05, -1.61937, -0.402988, 0.116728, -0.000221075, 0.000614097, -0.103005, 0.202048, -0.28366, -0, 0.0635995, -0.0977723, -0.00611143, 0.162328, 0.0563855, -0.461355, -0.26571, -1.26006, -2.02893e-06, -1.6158, -0.40497, 0.115571, 5.33075e-05, 0.000327285, -0.0979491, 0.205136, -0.274466, -2.27795e-06, 0.0694, -0.0976224, 
71.23, 0.00426763, 0.162332, 0.056399, -0.468731, -0.248655, -1.28357, 1.32894e-05, -1.61327, -0.411823, 0.104347, -0.0008843, 0.000307049, -0.0911197, 0.184616, -0.232157, -0, 0.057904, -0.0825844, 0.00465165, 0.16232, 0.0563644, -0.470548, -0.246749, -1.2852, -2.19992e-06, -1.60961, -0.414184, 0.103071, -0.000184867, -0.000642654, -0.0888542, 0.180152, -0.23677, -1.45372e-06, 0.0566608, -0.0894971, 
71.33, 0.0144743, 0.162291, 0.0563255, -0.477589, -0.231028, -1.30657, 1.61372e-05, -1.60806, -0.42054, 0.0993732, -0.000552688, -0.00138172, -0.0863657, 0.164016, -0.21631, -0, 0.0455638, -0.0863813, 0.0146651, 0.162298, 0.0562847, -0.479306, -0.229396, -1.30782, -2.32979e-06, -1.60434, -0.423022, 0.0984709, -0.000215775, -0.000819227, -0.0876673, 0.169055, -0.218508, -1.29016e-06, 0.0494801, -0.0884866, 
71.43, 0.0244636, 0.162266, 0.0562628, -0.486599, -0.214102, -1.32812, 1.04417e-05, -1.60354, -0.429442, 0.102247, 0.000331613, -0.00138172, -0.0958738, 0.1656, -0.211556, -0, 0.0446145, -0.0911276, 0.0245324, 0.162281, 0.0562195, -0.48829, -0.212633, -1.32931, -2.45199e-06, -1.59961, -0.432071, 0.0994302, -0.00011417, -0.000435283, -0.092671, 0.167104, -0.212464, -1.25023e-06, 0.04538, -0.0931064, 
71.53, 0.0345187, 0.162261, 0.0562332, -0.496242, -0.197529, -1.34904, 7.59396e-06, -1.5995, -0.438843, 0.101142, 0.000110538, -0.000460573, -0.0974585, 0.16877, -0.214726, -0, 0.0379698, -0.0987215, 0.034597, 0.162275, 0.0561989, -0.497898, -0.195906, -1.3504, -2.56627e-06, -1.59524, -0.4417, 0.101837, -7.08844e-06, -3.07563e-06, -0.0994811, 0.167376, -0.209278, -1.12012e-06, 0.0419194, -0.0994842, 
71.63, 0.0448581, 0.162219, 0.0562424, -0.506382, -0.180818, -1.36979, 2.27819e-05, -1.59566, -0.448874, 0.104458, -0.000552688, -0.000460573, -0.102213, 0.157677, -0.20601, -0, 0.0398683, -0.106316, 0.0448682, 0.162277, 0.0562107, -0.508152, -0.179208, -1.3711, -2.66149e-06, -1.59124, -0.451942, 0.103368, 4.16711e-05, 0.000192557, -0.10534, 0.166246, -0.204354, -8.82559e-07, 0.0381222, -0.105147, 
71.73, 0.0553134, 0.162231, 0.0562605, -0.517072, -0.164209, -1.39002, 1.89849e-05, -1.59206, -0.459445, 0.102468, 0.00143699, 0.00107467, -0.110136, 0.163223, -0.20284, -0, 0.0322743, -0.106316, 0.0552295, 0.162282, 0.0562297, -0.518918, -0.162719, -1.3912, -2.73081e-06, -1.58763, -0.462689, 0.103694, 3.77795e-05, 0.000161108, -0.109793, 0.163288, -0.197304, -6.19092e-07, 0.0340262, -0.109632, 
71.83, 0.0658434, 0.162249, 0.0562814, -0.528395, -0.147932, -1.40939, 1.04417e-05, -1.58867, -0.470532, 0.100589, -3.46945e-18, 0.00153524, -0.106174, 0.156092, -0.190163, -0, 0.0332236, -0.110112, 0.0655863, 0.162284, 0.0562401, -0.530089, -0.146582, -1.41053, -2.77531e-06, -1.58443, -0.473849, 0.103394, 1.4961e-05, 4.53571e-05, -0.113598, 0.15939, -0.189324, -3.93689e-07, 0.0299407, -0.113552, 
71.93, 0.0761182, 0.162231, 0.0562889, -0.539731, -0.132252, -1.42794, 1.70864e-05, -1.58556, -0.481915, 0.103574, 0.000110538, -0.00199582, -0.122021, 0.154507, -0.176693, -0, 0.0313251, -0.117706, 0.0759069, 0.162285, 0.05624, -0.541643, -0.130845, -1.42906, -2.79969e-06, -1.58163, -0.485404, 0.10304, -7.9393e-07, -3.88177e-05, -0.11756, 0.155354, -0.181416, -2.15651e-07, 0.0260652, -0.117599, 
72.03, 0.0865172, 0.16228, 0.0563301, -0.551857, -0.116816, -1.44579, 2.18326e-05, -1.58291, -0.493869, 0.10291, -0.000110538, -0.00168877, -0.124398, 0.156884, -0.175901, 0.00284774, 0.0237311, -0.12625, 0.0862007, 0.162285, 0.0562346, -0.553619, -0.115505, -1.44683, -2.80777e-06, -1.57921, -0.497384, 0.10287, -2.33302e-06, -5.89128e-05, -0.122033, 0.151481, -0.173927, -6.47e-08, 0.022447, -0.122092, 
72.13, 0.0966751, 0.162254, 0.0562625, -0.564126, -0.101923, -1.46294, 2.18326e-05, -1.58053, -0.506234, 0.10081, -0.00044215, -0.000921146, -0.125191, 0.146584, -0.170354, -0, 0.0189849, -0.122453, 0.0964864, 0.162285, 0.0562295, -0.566066, -0.100545, -1.46386, -2.80117e-06, -1.57714, -0.509837, 0.102864, 5.12003e-06, -3.91657e-05, -0.12698, 0.14772, -0.166784, 7.98025e-08, 0.0190625, -0.127019, 
72.23, 0.107114, 0.162286, 0.0563313, -0.577328, -0.0868403, -1.47943, 8.54321e-06, -1.57863, -0.519218, 0.103021, 0.000221075, 0.00122819, -0.133906, 0.148169, -0.156092, -0, 0.0170864, -0.131945, 0.106775, 0.162286, 0.0562269, -0.579025, -0.0859622, -1.48019, -2.77999e-06, -1.57539, -0.522798, 0.102919, 1.40934e-05, -1.389e-05, -0.132231, 0.143926, -0.159814, 2.27431e-07, 0.015884, -0.132245, 
