Time, q_r1, q_r2, q_r3, q_r4, q_r5, q_r6, q_r7, q_r8, q_r9, dq_r1, dq_r2, dq_r3, dq_r4, dq_r5, dq_r6, dq_r7, dq_r8, dq_r9, q_n1, q_n2, q_n3, q_n4, q_n5, q_n6, q_n7, q_n8, q_n9, dq_n1, dq_n2, dq_n3, dq_n4, dq_n5, dq_n6, dq_n7, dq_n8, dq_n9
1.23, -8.51139e-06, 5.52688e-07, 7.67622e-07, 1.9281, 1.2623, -1.86764, 0.141205, -1.79709, 2.08917, 0, 0, -0, -1.68056, -1.10374, 0.245627, -0.181306, 0.167067, -1.81875, 1.64085e-06, -1.61594e-06, -4.07818e-06, 1.91443, 1.25558, -1.86529, 0.138709, -1.79267, 2.06746, -2.90216e-06, -2.54405e-06, -6.39249e-06, -1.67743, -1.10033, 0.257544, -0.120962, 0.19527, -1.84534, 
1.33, -3.79144e-05, 4.53204e-06, 6.2945e-06, 1.7566, 1.14978, -1.84133, 0.128837, -1.77721, 1.90141, -0.000331613, -0.000331613, -0.000460573, -1.74237, -1.14732, 0.27019, -0.111062, 0.209783, -1.90039, 1.28909e-06, -1.82121e-06, -4.59334e-06, 1.74297, 1.14311, -1.83896, 0.126343, -1.77273, 1.87855, -4.05636e-06, -1.62218e-06, -4.06486e-06, -1.74689, -1.14596, 0.268395, -0.126023, 0.202952, -1.92589, 
1.43, -3.65879e-05, 5.85849e-06, 8.13679e-06, 1.5794, 1.03354, -1.81413, 0.116189, -1.75663, 1.7074, 0.000663225, 0.000663225, 0.000921146, -1.79625, -1.16633, 0.278906, -0.130996, 0.193646, -1.95545, 8.56617e-07, -1.93497e-06, -4.87767e-06, 1.56608, 1.02706, -1.81177, 0.113576, -1.7522, 1.68371, -4.53103e-06, -7.63206e-07, -1.89908e-06, -1.78575, -1.17154, 0.274602, -0.128938, 0.20712, -1.96387, 
1.53, -1.93441e-05, 2.31023e-05, 3.20866e-05, 1.39989, 0.915672, -1.78657, 0.103375, -1.73568, 1.51122, 0.00121591, 0.00121591, 0.00168877, -1.7907, -1.17663, 0.273359, -0.15093, 0.1889, -1.96589, 4.09264e-07, -1.98068e-06, -4.9905e-06, 1.38688, 0.909492, -1.7842, 0.100629, -1.73143, 1.48715, -4.39797e-06, -2.96177e-07, -7.23531e-07, -1.79298, -1.17636, 0.275972, -0.129644, 0.207619, -1.96059, 
1.63, 4.20043e-06, 1.56963e-05, 2.18005e-05, 1.221, 0.798415, -1.75903, 0.0905371, -1.71504, 1.317, 0.000331613, -0.000331613, -0.000460573, -1.77882, -1.16792, 0.271774, -0.129097, 0.192697, -1.92602, -4.53207e-09, -2.00691e-06, -5.05444e-06, 1.20854, 0.792487, -1.75674, 0.0877217, -1.7108, 1.29286, -3.91555e-06, -3.79008e-07, -9.34601e-07, -1.7684, -1.16029, 0.27243, -0.128122, 0.204419, -1.91913, 
1.73, 3.64774e-06, 4.75311e-06, 6.60155e-06, 1.04574, 0.683636, -1.73207, 0.07784, -1.69476, 1.12832, 0, 0, -0, -1.71939, -1.13147, 0.272567, -0.129097, 0.200291, -1.85293, -3.65368e-07, -2.06573e-06, -5.20076e-06, 1.03423, 0.678118, -1.72987, 0.0750782, -1.69067, 1.10446, -3.38569e-06, -9.20585e-07, -2.30129e-06, -1.71271, -1.12374, 0.264031, -0.124379, 0.197622, -1.84363, 
1.83, -1.10538e-07, 9.94838e-07, 1.38172e-06, 0.877716, 0.573539, -1.70618, 0.0656327, -1.67524, 0.948432, 0, 0, -0, -1.62748, -1.0665, 0.250381, -0.131945, 0.194595, -1.75421, -6.80574e-07, -2.18848e-06, -5.50829e-06, 0.866988, 0.568388, -1.70408, 0.0629188, -1.67139, 0.92512, -3.03064e-06, -1.60572e-06, -4.02864e-06, -1.62746, -1.06773, 0.250973, -0.118451, 0.18746, -1.73865, 
1.93, -1.10538e-07, 9.94838e-07, 1.38172e-06, 0.719336, 0.469845, -1.68188, 0.0541089, -1.65704, 0.779992, 0, 0, -0, -1.52447, -0.995978, 0.236119, -0.129097, 0.168966, -1.61467, -9.72884e-07, -2.36856e-06, -5.96036e-06, 0.709648, 0.46517, -1.67982, 0.0514581, -1.65328, 0.757561, -2.93292e-06, -2.01119e-06, -5.05033e-06, -1.51506, -0.993803, 0.233613, -0.110422, 0.17427, -1.60874, 
2.03, -3.75828e-06, 4.64258e-06, 6.44802e-06, 0.573376, 0.374351, -1.6594, 0.0435618, -1.64007, 0.625391, 0, 0, -0, -1.38977, -0.90882, 0.211556, -0.110112, 0.157575, -1.47418, -1.26513e-06, -2.56025e-06, -6.44165e-06, 0.564777, 0.370155, -1.65749, 0.0408988, -1.63662, 0.604059, -3.00998e-06, -1.809e-06, -4.54071e-06, -1.37867, -0.904091, 0.212463, -0.100462, 0.158472, -1.45822, 
2.13, -3.75828e-06, 4.64258e-06, 6.44802e-06, 0.442103, 0.288473, -1.63912, 0.0339431, -1.62496, 0.486521, 0, 0, -0, -1.23368, -0.806608, 0.191748, -0.0892291, 0.143336, -1.30047, -1.56444e-06, -2.69912e-06, -6.78987e-06, 0.434582, 0.28479, -1.63743, 0.0314202, -1.62165, 0.466467, -3.04056e-06, -9.73367e-07, -2.4089e-06, -1.22063, -0.800186, 0.187919, -0.0887485, 0.140362, -1.28945, 
2.23, -3.75828e-06, 4.64258e-06, 6.44802e-06, 0.326948, 0.213312, -1.62144, 0.025604, -1.61149, 0.364737, 0, 0, -0, -1.06967, -0.695679, 0.166393, -0.0778381, 0.122453, -1.12675, -1.8542e-06, -2.73479e-06, -6.87824e-06, 0.32083, 0.210231, -1.61993, 0.0231644, -1.60856, 0.346234, -2.79369e-06, 2.08284e-07, 5.38786e-07, -1.05068, -0.688565, 0.161536, -0.0760863, 0.121045, -1.11176, 
